coordinate	binary_sha256	source_sha256	source_url
io.dropwizard.metrics:metrics-json:4.2.39	8726b15affd61992a4ecd0ed1dc3936782781e7fa0fdc47be04d338f9341dd46	438fa95bdb4de679ea0205c47a75e4427a953bb6b58478ebfb8058418ef07ac2	https://repo.maven.apache.org/maven2/io/dropwizard/metrics/metrics-json/4.2.39/metrics-json-4.2.39-sources.jar
com.helger:profiler:1.1.1	79a637232e41584df31ba0db9cf22b970259174c2065ce13be78626171e01498	6b005f88026a803d74275d0d00c68064245372cadab61f636fa77ffc0959f650	https://repo.maven.apache.org/maven2/com/helger/profiler/1.1.1/profiler-1.1.1-sources.jar
io.dropwizard.metrics:metrics-healthchecks:4.2.39	a7750639e458aab8470947988480e78331c9d580ddbe5f0605089c88cc248858	04edb842dcc468159480a9941166c693c48ceba6cc04e8be1b884c399efc7e9b	https://repo.maven.apache.org/maven2/io/dropwizard/metrics/metrics-healthchecks/4.2.39/metrics-healthchecks-4.2.39-sources.jar
io.dropwizard:dropwizard-request-logging:5.0.2	c0e0dd378ab6c75e6db44d7bad4d40df6ee395fde74a76e552f11d46428a8d88	fc8ce2acfdd2e6e0b02a64e44f33bdace766145634ac1aee2863d181bb69befd	https://repo.maven.apache.org/maven2/io/dropwizard/dropwizard-request-logging/5.0.2/dropwizard-request-logging-5.0.2-sources.jar
ch.qos.logback.access:logback-access-common:2.0.12	10387da05103f64d9c606fb96ab54a1ebb68f1a4ee91fd54621cf941f13de676	70bdce99b554d73b9b0de3fd6a64c89b55200fde4a6994fae21c61794e123166	https://repo.maven.apache.org/maven2/ch/qos/logback/access/logback-access-common/2.0.12/logback-access-common-2.0.12-sources.jar
ch.qos.logback.access:logback-access-jetty12:2.0.12	c8b98ef01f46c4c4f93f4d22c64e31a98f75284070b43472410f1fd9a0f0f5bb	afa1459419e569be2a68a4e91372dbb05af28fd242e4c1f5d0efcd767cf9d84e	https://repo.maven.apache.org/maven2/ch/qos/logback/access/logback-access-jetty12/2.0.12/logback-access-jetty12-2.0.12-sources.jar
ch.qos.logback:logback-classic:1.5.33	6d9ab1406e884084105940fe71378b53d2fe3b4806d856945703a27216014c97	c1953de955f4c82630f13decd210cf89d590fa1c37756a028eedf429ce91e1d2	https://repo.maven.apache.org/maven2/ch/qos/logback/logback-classic/1.5.33/logback-classic-1.5.33-sources.jar
com.fasterxml.jackson.core:jackson-annotations:2.21	53ca085f4a150f703f49e1aabd935bd03b43e1ea3d55d135438292af22cef56b	71fe6323d91b16d5d1007fd1e1533fa06bb369abde74f68a42a68c0f8f061a8b	https://repo.maven.apache.org/maven2/com/fasterxml/jackson/core/jackson-annotations/2.21/jackson-annotations-2.21-sources.jar
com.fasterxml.jackson.core:jackson-databind:2.21.4	3888e9e69ab66fbacaacc9aea0e9ffbf15368288e4aca468b024dba11c09fbf9	23188e78e912c9866367bf038fb7f729e79f1c2724174ca66e0a00915de70e61	https://repo.maven.apache.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.21.4/jackson-databind-2.21.4-sources.jar
org.jspecify:jspecify:1.0.0	1fad6e6be7557781e4d33729d49ae1cdc8fdda6fe477bb0cc68ce351eafdfbab	adf0898191d55937fb3192ba971826f4f294292c4a960740f3c27310e7b70296	https://repo.maven.apache.org/maven2/org/jspecify/jspecify/1.0.0/jspecify-1.0.0-sources.jar
